,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
0,N/A,N/A,a,N/A,N/A,N/A,N/A,N/A,46.70,33.16,4.40,4.33,13.46,17.97,6.20,1.0,13.37,19010000000.0,N/A,23.41,2.73,N/A,N/A,N/A,2200000000.0,1.0,N/A,1.78,80.20,8.10,2390000000.0,7.43,2040000000.0,3.20,13.62,560120000.0,1.0,0.39,85.20,N/A,2.34,1.64,5320000.0,N/A
1,N/A,N/A,aa,N/A,N/A,N/A,N/A,N/A,17.77,170.86,0.59,1.00,0.36,7.40,2.72,1.0,53.68,5860000000.0,N/A,13.41,0.22,N/A,N/A,N/A,N/A,1.0,N/A,0.19,N/A,24.70,4.36,4.36,1450000000.0,1.30,31.89,648880000.0,1.0,N/A,N/A,N/A,1.03,2.20,4660000.0,N/A
2,N/A,N/A,aapl,N/A,N/A,N/A,N/A,N/A,73.74,16.87,3.40,5.58,20.74,26.91,11.59,1.0,41.33,749540000000.0,N/A,13.65,1.50,N/A,N/A,N/A,84260000000.0,1.0,N/A,8.52,4.90,4.60,67260000000.00001,12.9,98880000000.0,1.39,25.76,66340000000.0,1.0,0.03,60.20,N/A,2.33,1.01,50990000.0,N/A
3,N/A,N/A,abt,N/A,N/A,N/A,N/A,N/A,76.29,49.08,3.67,2.61,6.74,13.41,3.38,1.0,14.49,81850000000.0,N/A,17.09,1.69,N/A,N/A,N/A,11830000000.0,1.0,N/A,0.96,32.60,29.70,8860000000.0,5.11,24070000000.0,2.91,18.07,3870000000.0,1.0,0.21,70.50,N/A,2.01,0.79,13260000.0,N/A
4,N/A,N/A,adbe,N/A,N/A,N/A,N/A,N/A,24.83,52.41,11.04,8.95,21.34,26.87,8.29,1.0,12.37,67900000000.00001,N/A,27.51,1.79,N/A,N/A,N/A,5030000000.0,1.0,N/A,2.62,56.70,21.60,4650000000.0,9.4,1880000000.0,1.95,15.33,2430000000.0,1.0,0.38,92.30,N/A,2.25,0.90,4830000.0,N/A
5,N/A,N/A,adt,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.0,5.0,5.0,5.0,5.0,5.0,5.0,N/A,5.0,N/A,N/A,1.2,5.0,5.0,N/A,5.0,5.0,5.0,5.0,1.2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,N/A,5.0,5.0,5.0,N/A
6,N/A,N/A,aet,N/A,N/A,N/A,N/A,N/A,65.72,45.09,0.78,3.44,1.84,8.08,5.61,1.0,179.15,49040000000.0,N/A,14.84,1.39,N/A,N/A,N/A,16800000000.0,1.0,N/A,3.28,N/A,3.40,6810000000.0,20.52,9420000000.0,0.76,42.99,2830000000.0,1.0,0.35,90.40,N/A,4.42,1.67,15700000.0,N/A
7,N/A,N/A,aiz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.0,5.0,5.0,1.0,5.0,5.0,5.0,N/A,5.0,N/A,N/A,1.2,5.0,1.0,N/A,5.0,5.0,5.0,5.0,2.6,5.0,5.0,5.0,5.0,1.0,5.0,5.0,N/A,5.0,5.0,5.0,N/A
8,N/A,N/A,amat,N/A,N/A,N/A,N/A,N/A,67.00,18.34,3.70,5.80,20.41,24.10,12.45,1.0,11.97,47880000000.0,N/A,13.73,0.59,N/A,N/A,N/A,4510000000.0,1.0,N/A,2.42,157.50,44.70,6740000000.0,6.28,5500000000.0,2.93,7.64,3320000000.0,1.0,0.21,87.10,N/A,1.77,1.25,13350000.0,N/A
9,N/A,N/A,amzn,N/A,N/A,N/A,N/A,N/A,99.65,181.72,3.23,21.28,1.81,2.89,3.62,1.0,299.84,461200000000.0,N/A,84.94,5.35,N/A,N/A,N/A,47720000000.0,1.0,N/A,5.31,41.10,22.60,21530000000.0,45.05,21600000000.0,1.05,45.34,16809999999.999998,1.0,17.82,67.50,N/A,2.09,1.62,5910000.0,N/A
10,N/A,N/A,apa,N/A,N/A,N/A,N/A,N/A,108.36,22.41,3.25,2.89,14.46,9.70,1.71,1.0,14.95,18420000000.0,N/A,29.17,4.90,N/A,N/A,N/A,3670000000.0,1.0,N/A,2.16,N/A,39.10,1520000000.0,8480000000.0,8480000000.0,1.80,16.78,2650000000.0,1.0,0.45,91.70,N/A,5.17,5.87,22200000.0,N/A
11,N/A,N/A,arg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.0,5.0,5.0,5.0,5.0,5.0,5.0,N/A,5.0,N/A,N/A,1.2,5.0,5.0,N/A,5.0,5.0,5.0,5.0,2.6,5.0,5.0,5.0,5.0,5.0,5.0,5.0,N/A,5.0,5.0,5.0,N/A
12,N/A,N/A,avb,N/A,N/A,N/A,N/A,N/A,68.18,25.79,13.04,2.59,50.44,37.29,2.72,1.0,14.93,26670000000.0,N/A,40.49,7.91,N/A,N/A,N/A,2049999999.9999998,1.0,N/A,7.51,0.90,1.10,121700000.0,0.89,7010000000.0,1.08,74.71,1160000000.0,1.0,0.45,100.60,N/A,7.61,4.19,4900000.0,N/A
