,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
0,2011-08-02 06:45:37,1312281937.0,a,40.79,11.296043656207368,894.73999,-21.791883949300885,33.087927605508256,54.36,16.18,2.38,3.71,14.46,14.80,6.94,27.00,17.77,13850000000.0,13850000000.0,12.44,0.63,2.25,11.89,2.25,2930000000.0,11.89,890000000.0,2.52,85.20,31.90,2980000000.0,8.55,2150000000.0,3.20,11.36,13850000000.0,1.55,0.25,82.10,4360000.0,1.20,1.40,5420000.0,outperform
1,2013-05-14 00:28:58,1368505738.0,a,43.04,17.435197817189636,1897.449951,65.85375374604789,-48.418555928858254,44.12,13.75,2.19,2.83,15.96,15.69,6.85,22.38,19.85,15060000000.0,15060000000.0,13.08,2.07,2.18,10.75,2.18,3600000000.0,10.75,1100000000.0,3.13,22.20,2.80,2450000000.0,7.06,2360000000.0,2.55,15.41,1320000000.0,1.66,0.23,83.20,4370000.0,1.20,1.30,3080000.0,underperform
2,2013-09-06 06:09:52,1378462192.0,a,47.68,30.095497953615286,1318.069946,15.210863996038354,14.884633957576932,56.39,17.74,2.32,3.31,13.73,14.04,5.98,19.41,19.80,15860000000.0,15860000000.0,15.09,2.16,2.32,11.93,2.32,3600000000.0,11.93,938000000.0,2.69,30.90,4.10,2330000000.0,7.04,2700000000.0,2.96,14.46,1260000000.0,1.81,0.23,83.50,2780000.0,1.20,0.80,3300000.0,outperform
3,2011-08-18 01:16:41,1313644601.0,aci,19.7,-35.997400909681616,1204.48999,-41.698007281493915,5.700606371812299,118.77,20.59,1.23,1.20,4.62,12.59,3.65,5.69,21.08,8400000000.0,8400000000.0,5.24,0.38,2.41,10.08,2.41,790460000.0,10.08,161180000.0,0.96,83.30,28.90,82350000.0,0.39,4200000000.0,1.24,16.73,8400000000.0,1.83,0.73,89.30,6310000.0,1.10,5.00,7820000.0,outperform
4,2004-06-20 07:36:21,1087731381.0,adsk,39.4,113.66594360086766,1132.050049,40.19543233752991,73.47051126333776,1.614,31.62,4.27,6.97,14.95,14.74,16.10,25.50,8.332,4470000000.0,4120000000.0,23.04,1.53,3.96,26.8,3.96,803520000.0,26.8,155310000.0,1.246,277.10,15.40,353930000.0,3.12,1.614,1.614,5.614,257959999.99999997,1.032,4.76,87.77,3210000.0,1.783,2.97,3270000.0,outperform
5,2004-08-03 23:39:21,1091590761.0,adsk,39.96,116.70281995661604,878.2899779999999,8.769257412425253,107.93356254419079,1.614,32.07,4.31,7.03,14.95,14.74,16.10,25.50,8.332,4540000000.0,4130000000.0,23.37,1.54,3.97,26.86,3.97,803520000.0,26.86,155310000.0,1.246,277.10,15.40,353930000.0,3.12,1.614,1.614,5.614,257959999.99999997,1.06,4.76,88.88,4580000.0,2.112,4.24,4820000.0,outperform
6,2013-02-06 12:50:17,1360173017.0,adsk,39.06,111.82212581344902,1262.859985,56.39520685082498,55.42691896262404,5.45,36.85,3.82,4.35,10.66,15.22,6.80,12.74,10.13,7560000000.0,7560000000.0,18.42,1.18,3.29,15.97,3.29,1990000000.0,15.97,244900000.0,1.06,59.60,0.10,1330000000.0,5.92,110000000.0,1.75,8.98,578700000.0,2.13,0.16,95.30,3620000.0,1.60,1.60,3860000.0,outperform
7,2013-05-14 02:47:26,1368514046.0,adsk,38.9,110.95444685466376,1897.449951,134.98414796612047,-24.029701111456717,36.49,36.36,3.85,4.35,10.70,15.13,5.80,12.60,10.21,7690000000.0,7690000000.0,15.88,1.26,3.33,16.10,3.33,2069999999.9999998,16.10,247400000.0,1.07,3.50,2.40,1950000000.0,8.73,745600000.0,2.45,9.14,559100000.0,2.15,0.12,91.80,3810000.0,1.50,1.70,3160000.0,underperform
8,2011-12-30 09:10:57,1325254257.0,afl,43.27,29.434639545318586,1265.430054,56.713489540632324,-27.278849995313738,33.03,10.98,0.94,1.59,8.62,14.16,1.79,15.56,46.04,22440000000.0,22440000000.0,6.50,0.62,1.04,7.17,1.04,4930000000.0,7.17,1860000000.0,3.94,7.80,11.90,1960000000.0,4.20,4200000000.0,0.42,27.25,9610000000.0,2.53,3.03,65.30,9160000.0,2.50,2.00,9130000.0,underperform
9,2004-09-17 01:25:17,1095398717.0,altr,19.5,0.0,1128.329956,0.0,0.0,3.044,33.80,7.69,6.36,23.75,29.90,14.57,19.54,2.426,7250000000.0,6490000000.0,23.49,1.35,6.91,20.17,6.91,561330000.0,20.17,222970000.0,0.577,70.00,16.20,1080000000.0,2.9,3.044,3.044,3.05,314500000.0,2.272,2.06,84.80,12820000.0,1.754,3.52,9210000.0,underperform
